,Gender,Label,Name_written,Name_spoken,segments,syllables,SCR,OCR,SCE,OCE,FVR,CVR,BVR,VE
14285,Female,1,alexis,ə l e k s ɪ s,7,3,0.14285714285714285,0.42857142857142855,0,1,0.2857142857142857,0.14285714285714285,0.0,0
14286,Female,1,stephanie,s t e f ə n i,7,3,0.14285714285714285,0.42857142857142855,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14287,Female,1,jasmine,ʤ æ z m ə n,6,3,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.16666666666666666,0.0,0
14288,Female,1,julie,ʤ u l i,4,2,0.25,0.25,0,0,0.25,0.0,0.25,1
14289,Female,1,bailey,b eɪ l i,4,2,0.25,0.25,0,0,0.25,0.0,0.0,1
14290,Female,1,samantha,s ə m æ n ɵ ə,7,3,0.2857142857142857,0.2857142857142857,0,0,0.14285714285714285,0.2857142857142857,0.0,1
14291,Female,1,ashley,æ ʃ l i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14292,Female,1,jessica,ʤ e s ɪ k ə,6,3,0.0,0.5,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14293,Female,1,maria,m ɜ i ə,4,2,0.25,0.0,0,0,0.5,0.25,0.0,1
14294,Female,1,julia,ʤ u l j ə,5,2,0.4,0.2,0,0,0.0,0.2,0.2,1
14295,Female,1,caitlin,k eɪ t l ɪ n,6,2,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.0,0.0,0
14296,Female,1,christine,k r ɪ s t i n,7,3,0.2857142857142857,0.42857142857142855,1,0,0.2857142857142857,0.0,0.0,0
14297,Female,1,erica,e r ɪ k ə,5,3,0.2,0.2,0,0,0.4,0.2,0.0,1
14298,Female,1,melissa,m ə l ɪ s ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14299,Female,1,nellie,n e l i,4,2,0.5,0.0,0,0,0.5,0.0,0.0,1
14300,Female,1,sara,s e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14301,Female,1,sara,s e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14302,Female,1,sarah,s e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14303,Female,1,lauren,l ɔ r ə n,5,2,0.6,0.0,1,0,0.0,0.2,0.2,0
14304,Female,1,taylor,t eɪ l ɜ,4,2,0.25,0.25,0,0,0.25,0.0,0.0,1
14305,Female,1,claudia,k l ɔ d i ə,6,2,0.16666666666666666,0.3333333333333333,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1
